2026-04-22 02:43:07 INFO  BUY [US] ETHU mode=BREAKOUT price=26.9000 qty=8 size=0.8000x score=85(CONV) | WHY: strongBreakout retestOK multiUp vol(1.90x) | VWAP: 0.33%(ABOVE slope=UP) | TREND: score=3 vel=0.17%/0.84%/1.64% | VOL: 8755.0000/4596.9500 TO: 235509.5000/122503.7442 | entryNo=2
2026-04-22 02:43:08 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:12 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:17 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:38 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:43 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:48 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:53 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:43:58 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:03 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:08 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:13 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:38 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:43 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:48 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:53 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:44:58 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:04 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:09 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:14 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:19 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:24 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:29 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:34 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:39 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:44 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:49 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:54 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:45:59 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:04 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:10 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:15 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:20 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:25 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:30 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:35 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:40 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:45 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:50 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:46:55 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:00 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:05 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:10 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:15 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:20 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:25 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:30 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:36 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:41 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:46 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:51 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:47:56 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:01 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:06 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:11 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:16 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:21 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:26 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:31 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:36 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:41 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:46 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:51 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:48:56 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:01 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:06 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:11 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:16 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:21 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:27 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:32 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:37 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:42 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:47 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:52 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:57 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:02 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:07 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:12 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:17 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:22 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:27 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:32 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:37 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:42 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:47 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:52 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:57 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:02 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:07 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:13 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:38 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:43 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:48 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:53 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:58 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:03 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:08 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:13 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:39 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:44 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:49 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:54 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:59 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:04 INFO  BUY_FILLED ETHU phase=HOLDING
