2026-04-23 00:07:08 INFO  BUY [US] NVDL mode=VOLUME_BREAKOUT price=95.8500 qty=3 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.87x) | VWAP: 0.96%(ABOVE slope=UP) | TREND: score=3 vel=0.11%/0.10%/0.18% | VOL: 16279.0000/5669.4000 TO: 1558714.2500/543066.5136 | entryNo=1
2026-04-23 00:07:09 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:13 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:18 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:23 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:28 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:33 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:38 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:43 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:48 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:53 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:07:58 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:03 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:08 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:13 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:18 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:23 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:28 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:33 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:39 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:44 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:49 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:54 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:08:59 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:04 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:09 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:14 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:19 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:24 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:29 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:34 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:39 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:44 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:49 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:54 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:09:59 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:04 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:09 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:14 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:24 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:29 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:34 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:39 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:44 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:49 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:54 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:10:59 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:04 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:09 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:14 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:19 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:24 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:29 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:34 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:39 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:44 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:50 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:11:55 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:00 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:05 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:10 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:15 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:20 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:25 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:30 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:35 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:40 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:45 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:50 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:12:55 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:13:00 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:13:05 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:13:10 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:13:15 INFO  BUY_FILLED NVDL phase=HOLDING
