2026-04-25 00:46:06 WARN  BUY pending timeout cleared for ETHU
2026-04-25 00:46:21 INFO  BUY [US] ETHU mode=EARLY_MOMENTUM price=26.9200 qty=5 size=0.5000x score=70(CONV) | WHY: velShort=1.01% velMid=0.93% aboveVwap | VWAP: 1.46%(ABOVE slope=UP) | TREND: score=3 vel=1.01%/0.93%/1.28% | VOL: 28868.0000/48867.5500 TO: 779147.3200/1302053.9803 | entryNo=2
2026-04-25 00:46:22 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:46:26 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:46:31 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:46:36 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:46:41 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:46:46 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:46:51 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:46:56 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:02 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:07 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:12 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:17 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:22 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:27 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:32 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:37 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:42 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:47 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:52 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:47:57 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:02 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:07 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:12 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:17 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:22 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:27 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:32 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:37 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:42 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:47 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:53 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:48:58 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:03 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:08 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:13 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:38 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:43 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:48 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:53 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:49:58 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:03 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:08 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:13 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:29 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:34 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:39 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:44 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:50:49 INFO  BUY_FILLED ETHU phase=HOLDING
