2026-05-05 00:06:07 INFO  BUY [US] AXTI mode=BREAKOUT price=97.8000 qty=2 size=0.8000x score=85(CONV) | WHY: strongBreakout retestOK multiUp vol(1.59x) | VWAP: 2.15%(ABOVE slope=UP) | TREND: score=3 vel=1.13%/1.42%/1.42% | VOL: 3220731.0000/2023482.7000 TO: 315019699.1100/196292584.8931 | entryNo=2
2026-05-05 00:06:08 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:12 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:17 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:22 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:27 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:32 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:37 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:43 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:48 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:53 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:06:58 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:03 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:08 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:13 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:23 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:29 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:34 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:39 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:44 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:49 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:54 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:07:59 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:04 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:10 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:15 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:20 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:25 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:30 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:35 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:40 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:45 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:50 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:08:55 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:00 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:05 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:11 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:16 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:21 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:26 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:31 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:36 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:41 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:46 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:09:51 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:01 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:07 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:12 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:17 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:22 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:27 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:32 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:37 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:42 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:47 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:52 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:10:57 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:03 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:08 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:13 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:18 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:23 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:28 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:33 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:38 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:43 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:48 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:53 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:11:59 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:04 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:09 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:14 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:19 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:24 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:29 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:34 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:39 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:44 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:50 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:12:55 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:00 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:05 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:10 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:15 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:20 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:25 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:30 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:35 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:40 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:45 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:51 INFO  BUY_FILLED AXTI phase=HOLDING
