2026-05-20 18:02:27 INFO  FORCE_HOLDING 406820 phase=HOLDING (startup recovery)
2026-05-20 18:02:39 INFO  BUY amount set for NFLX: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for GOOD: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for META: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for GOOX: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for AAPU: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for AAPD: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for AMZD: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for AMZU: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for WEBL: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for WEBS: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for BULZ: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for BERZ: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for TQQQ: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for SQQQ: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for LABU: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for LABD: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for NVDQ: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for TSLQ: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for BAIG: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for SMCX: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for NVDL: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for SOXS: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for SOXL: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for SMU: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for TSLL: 250.00
2026-05-20 18:02:39 INFO  BUY amount set for ETHU: 250.00
2026-05-20 18:53:17 INFO  BUY [US] TQQQ mode=VOLUME_BREAKOUT price=74.6500 qty=3 size=1.0000x score=90(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(3.54x) | VWAP: 0.47%(ABOVE slope=UP) allowedGap=2.80% | TREND: score=3 vel=0.32%/0.26%/0.36% accel=true | VOL: 519087.0000/146778.9000 TO: 38703126.7200/10906309.7230 | HIGH: 74.5607 fromHigh=-0.00% | entryNo=1
2026-05-20 22:48:05 INFO  BUY [US] BAIG mode=EARLY_MOMENTUM price=32.2900 qty=3 size=0.5000x score=83 | WHY: velShort=1.33% velMid=1.33% aboveVwap | VWAP: 1.19%(ABOVE slope=UP) allowedGap=1.20% | TREND: score=3 vel=1.33%/1.33%/1.33% accel=false | VOL: 2877.0000/645.1500 TO: 92898.3300/20667.8960 | HIGH: 32.5200 fromHigh=-0.71% | entryNo=1
2026-05-20 22:49:01 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:06 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:11 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:17 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:27 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:32 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:37 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:42 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:48 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:53 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:49:58 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:03 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:08 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:14 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:19 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:24 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:29 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:34 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:39 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:44 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:49 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:50:54 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:00 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:05 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:10 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:16 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:21 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:26 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:31 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:36 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:41 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:47 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:51:52 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:02 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:07 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:13 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:18 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:23 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:28 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:33 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:38 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:44 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:49 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:54 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:52:59 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:04 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:10 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:15 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:20 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:30 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:35 INFO  BUY_FILLED BAIG phase=HOLDING
