2026-05-22 00:13:08 INFO  BUY [US] SMU mode=PULLBACK price=11.1100 qty=33 size=1.5000x score=90(CONV) | WHY: zone(-1.72%fromHigh) vel+ priceAboveAvg vol(2.64x) | VWAP: 1.46%(ABOVE slope=UP) allowedGap=1.60% | TREND: score=3 vel=0.73%/0.45%/0.09% accel=true | VOL: 304047.0000/115027.3000 TO: 3377962.1700/1285416.3093 | HIGH: 11.3050 fromHigh=-1.72% | entryNo=1
2026-05-22 00:13:09 WARN  BUY_REJECTED SMU phase=NONE
2026-05-22 00:30:11 INFO  BUY [US] NFLX mode=VOLUME_BREAKOUT price=89.4000 qty=2 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(3.90x) | VWAP: 0.88%(ABOVE slope=UP) allowedGap=2.80% | TREND: score=3 vel=0.18%/0.17%/0.25% accel=true | VOL: 11074574.0000/2837338.4500 TO: 989956169.8600/252804198.8448 | HIGH: 89.3900 fromHigh=0.00% | entryNo=1
2026-05-22 00:30:12 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:17 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:22 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:27 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:32 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:37 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:43 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:48 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:53 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:30:58 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:03 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:09 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:14 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:19 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:24 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:29 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:34 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:39 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:45 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:50 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:31:55 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:00 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:05 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:11 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:16 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:21 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:26 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:31 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:37 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:42 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:52 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:32:57 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:02 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:07 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:12 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:18 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:23 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:33 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:38 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:43 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:48 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:54 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:33:59 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:04 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:10 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:15 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:20 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:25 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:30 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:35 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:41 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:46 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:51 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:34:56 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:02 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:07 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:12 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:17 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:17 INFO  SELL_EXECUTED [US] NFLX mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=89.2900 qty=2 reason=TIME_STOP_SOFT pnl=-0.12% peakPnl=0.01% holdMs=304814 high=89.4100 avgPrice=89.4000 weightedPnl=-0.09% (pending fill)
2026-05-22 00:35:21 WARN  SELL_REJECTED NFLX reason=TIME_STOP_SOFT phase=HOLDING
2026-05-22 00:35:22 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:27 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:27 INFO  SELL_EXECUTED [US] NFLX mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=89.2850 qty=2 reason=TIME_STOP_SOFT pnl=-0.13% peakPnl=0.01% holdMs=315144 high=89.4100 avgPrice=89.4000 weightedPnl=-0.09% (pending fill)
2026-05-22 00:35:28 WARN  SELL_REJECTED NFLX reason=TIME_STOP_SOFT phase=HOLDING
2026-05-22 00:35:33 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:33 INFO  SELL_EXECUTED [US] NFLX mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=89.2500 qty=2 reason=TIME_STOP_SOFT pnl=-0.17% peakPnl=0.01% holdMs=320582 high=89.4100 avgPrice=89.4000 weightedPnl=-0.12% (pending fill)
2026-05-22 00:35:38 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:43 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:48 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:48 WARN  SELL timeout for NFLX — issuing immediate MARKET sell qty=2
2026-05-22 00:35:53 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:35:58 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:36:04 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:36:04 WARN  SELL timeout for NFLX — issuing immediate MARKET sell qty=2
2026-05-22 00:36:04 WARN  SELL_REJECTED NFLX reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-22 00:36:09 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 00:36:09 INFO  SELL_EXECUTED [US] NFLX mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=89.2100 qty=2 reason=TIME_STOP_SOFT pnl=-0.21% peakPnl=0.01% holdMs=356737 high=89.4100 avgPrice=89.4000 weightedPnl=-0.15% (pending fill)
2026-05-22 00:36:14 INFO  BUY_FILLED NFLX phase=HOLDING
2026-05-22 01:10:10 INFO  BUY [US] SOXL mode=VOLUME_BREAKOUT price=173.8000 qty=1 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(3.70x) | VWAP: 0.76%(ABOVE slope=UP) allowedGap=2.80% | TREND: score=3 vel=0.50%/0.49%/0.67% accel=true | VOL: 30636970.0000/8275774.7000 TO: 5323780149.5060/1427476651.7866 | HIGH: 173.7698 fromHigh=0.00% | entryNo=1
2026-05-22 01:10:11 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:15 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:21 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:26 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:31 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:36 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:41 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:46 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:51 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:10:57 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:02 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:07 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:12 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:17 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:23 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:28 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:33 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:38 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:43 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:48 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:53 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:11:59 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:04 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:09 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:14 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:19 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:25 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:30 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:35 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:45 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:50 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:12:56 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:01 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:06 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:11 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:16 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:22 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:27 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:32 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:37 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:42 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:47 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:52 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:13:58 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:03 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:08 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:13 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:18 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:23 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:29 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:34 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:39 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:44 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:49 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:14:54 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:15:00 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:15:05 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:15:10 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:15:15 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:15:15 INFO  SELL_EXECUTED [US] SOXL mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=173.0399 qty=1 reason=TIME_STOP_SOFT pnl=-0.44% peakPnl=-0.01% holdMs=304062 high=173.7800 avgPrice=173.8000 weightedPnl=-0.30% (pending fill)
2026-05-22 01:15:19 WARN  SELL_REJECTED SOXL reason=TIME_STOP_SOFT phase=HOLDING
2026-05-22 01:15:20 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:15:25 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:15:25 INFO  SELL_EXECUTED [US] SOXL mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=173.0300 qty=1 reason=TIME_STOP_SOFT pnl=-0.44% peakPnl=-0.01% holdMs=314322 high=173.7800 avgPrice=173.8000 weightedPnl=-0.31% (pending fill)
2026-05-22 01:15:26 WARN  SELL_REJECTED SOXL reason=TIME_STOP_SOFT phase=HOLDING
2026-05-22 01:15:31 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-22 01:15:31 INFO  SELL_EXECUTED [US] SOXL mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=172.8150 qty=1 reason=TIME_STOP_SOFT pnl=-0.57% peakPnl=-0.01% holdMs=319766 high=173.7800 avgPrice=173.8000 weightedPnl=-0.39% (pending fill)
2026-05-22 02:21:05 INFO  BUY [US] ETHU mode=VOLUME_BREAKOUT price=22.4400 qty=11 size=1.0000x score=83 | WHY: strongBreakout volBreakout multiUp vol(3.17x) | VWAP: 1.45%(ABOVE slope=UP) allowedGap=2.20% | TREND: score=3 vel=0.56%/0.27%/0.40% accel=true | VOL: 1801191.0000/567947.8500 TO: 40427731.9950/12611789.1525 | HIGH: 22.4450 fromHigh=0.00% | entryNo=1
2026-05-22 02:21:10 INFO  BUY [US] TSLL mode=VOLUME_BREAKOUT price=15.0200 qty=13 size=0.8000x score=85(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.04x) | VWAP: 2.18%(ABOVE slope=UP) allowedGap=2.80% | TREND: score=3 vel=0.41%/0.33%/0.74% accel=true | VOL: 31512703.0000/15442534.2500 TO: 472372266.6997/229313607.6782 | HIGH: 14.9900 fromHigh=-0.00% | entryNo=1
2026-05-22 02:21:10 WARN  BUY_REJECTED TSLL phase=NONE
2026-05-22 02:21:15 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:21:20 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:21:26 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:21:31 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:21:36 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:21:41 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:21:46 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:21:52 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:21:57 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:02 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:07 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:12 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:17 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:22 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:38 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:43 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:48 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:53 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:22:59 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:04 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:09 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:14 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:19 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:25 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:30 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:35 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:40 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:45 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:50 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:23:56 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:01 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:06 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:11 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:16 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:21 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:27 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:32 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:37 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:42 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:47 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:53 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:24:58 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:03 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:08 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:13 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:24 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:29 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:34 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:39 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:44 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:50 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:25:55 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:00 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:05 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:10 INFO  BUY [US] SMCX mode=VOLUME_BREAKOUT price=15.2300 qty=16 size=1.0000x score=83 | WHY: strongBreakout volBreakout multiUp vol(3.36x) | VWAP: 1.48%(ABOVE slope=UP) allowedGap=2.20% | TREND: score=3 vel=0.99%/0.40%/0.29% accel=true | VOL: 2662771.0000/791381.6500 TO: 40554002.3300/11955738.7675 | HIGH: 15.2400 fromHigh=-0.07% | entryNo=1
2026-05-22 02:26:10 WARN  BUY_REJECTED SMCX phase=NONE
2026-05-22 02:26:10 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:15 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:21 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:26 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:31 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:41 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:46 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:52 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:26:57 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:02 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:02 INFO  SELL_EXECUTED [US] ETHU mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=22.4501 qty=11 reason=TIME_STOP_SOFT pnl=0.05% peakPnl=0.27% holdMs=346751 high=22.5000 avgPrice=22.4400 weightedPnl=0.04% (pending fill)
2026-05-22 02:27:06 WARN  SELL_REJECTED ETHU reason=TIME_STOP_SOFT phase=HOLDING
2026-05-22 02:27:07 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:12 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:12 INFO  SELL_EXECUTED [US] ETHU mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=22.4600 qty=11 reason=TIME_STOP_SOFT pnl=0.09% peakPnl=0.27% holdMs=357103 high=22.5000 avgPrice=22.4400 weightedPnl=0.09% (pending fill)
2026-05-22 02:27:13 WARN  SELL_REJECTED ETHU reason=TIME_STOP_SOFT phase=HOLDING
2026-05-22 02:27:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:18 INFO  SELL_EXECUTED [US] ETHU mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=22.4550 qty=11 reason=TIME_STOP_SOFT pnl=0.07% peakPnl=0.27% holdMs=362684 high=22.5000 avgPrice=22.4400 weightedPnl=0.07% (pending fill)
2026-05-22 02:27:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:33 WARN  SELL timeout for ETHU — issuing immediate MARKET sell qty=11
2026-05-22 02:27:38 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:43 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:49 INFO  BUY_FILLED ETHU phase=HOLDING
2026-05-22 02:27:49 WARN  SELL timeout for ETHU — issuing immediate MARKET sell qty=11
2026-05-22 02:27:49 WARN  SELL_REJECTED ETHU reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
